samps,bert_cos,bert_kld,bert_kmeans,bert_ks,bert_recon,bert_taddy,cvec_nmf16_cos,cvec_nmf16_kld,cvec_nmf16_kmeans,cvec_nmf16_ks,cvec_nmf16_recon,cvec_nmf16_taddy,cvec_pca16_cos,cvec_pca16_kld,cvec_pca16_kmeans,cvec_pca16_ks,cvec_pca16_recon,cvec_pca16_taddy,cvec_tsne16_cos,cvec_tsne16_kld,cvec_tsne16_kmeans,cvec_tsne16_ks,cvec_tsne16_recon,cvec_tsne16_taddy,cvec_umap16_cos,cvec_umap16_kld,cvec_umap16_kmeans,cvec_umap16_ks,cvec_umap16_recon,cvec_umap16_taddy,distil_cos,distil_kld,distil_kmeans,distil_ks,distil_recon,distil_taddy,glove6B_cos,glove6B_kld,glove6B_kmeans,glove6B_ks,glove6B_recon,glove6B_taddy,random_noembed,roberta_cos,roberta_kld,roberta_kmeans,roberta_ks,roberta_recon,roberta_taddy,topics_taddy,universal_cos,universal_kld,universal_kmeans,universal_ks,universal_recon,universal_taddy
100,1748.8018369674683,434.0887498855591,162.49694395065308,4796.265756368637,1685.130807876587,142.05246686935425,1542.5409820079803,435.5790810585022,110.40390038490295,1856.7846856117249,1274.1710352897644,105.15025758743286,1464.8087079524994,357.84680700302124,33.848931074142456,1779.052411556244,49.88717722892761,27.157519102096558,9369.475736141205,8262.513835191727,7939.668567895889,9683.71943974495,7997.233527421951,7932.17250752449,1527.415916442871,420.45401549339294,94.10594415664673,1841.6596200466156,1078.4154765605927,90.15941119194031,1813.8594110012054,499.14632391929626,230.79133081436157,4861.323330402374,1750.045403957367,206.45804929733276,1507.9640288352966,352.202556848526,49.62301778793335,2822.9405794143677,1993.8636889457703,32.23941779136658,8.821487426757812e-05,1759.4369823932648,444.7238953113556,174.10361623764038,4806.900901794434,1643.5511288642883,151.9582920074463,1310.1514239311218,1606.4592490196228,388.02368569374084,89.27205157279968,3769.2086396217346,1238.4107122421265,68.88463425636292
500,1753.9017634391785,439.1886763572693,309.38859701156616,4801.365682840347,1685.130807876587,309.0310962200165,1546.5080082416534,439.5461072921753,132.55442833900452,1860.751711845398,1274.1710352897644,105.78242325782776,1468.3674714565277,361.40557050704956,56.5234260559082,1782.6111750602722,49.88717722892761,27.77034306526184,9373.634142160416,8266.672241210938,7953.169636726379,9687.87784576416,7997.233527421951,7932.838003158569,1531.6911218166351,424.729220867157,106.72598648071289,1845.9348254203796,1078.4154765605927,90.7502932548523,1818.967547416687,504.25446033477783,380.64666986465454,4866.431466817856,1750.045403957367,370.86783170700073,1513.152988910675,357.3915169239044,106.45352697372437,2828.129539489746,1993.8636889457703,61.33275604248047,0.00016307830810546875,1764.0502758026123,449.3371887207031,320.9370484352112,4811.514195203781,1643.5511288642883,317.4539303779602,1310.6700003743172,1604.4498071670532,386.01424384117126,183.21359515190125,3767.199197769165,1238.4107122421265,144.77919602394104
2000,1840.6440181732178,525.9309310913086,817.142728805542,4888.107937574387,1685.130807876587,913.4939455986023,1622.4672539234161,515.505352973938,208.42059898376465,1936.7109575271606,1274.1710352897644,107.99282097816467,1540.3301393985748,433.3682384490967,139.0098614692688,1854.5738430023193,49.88717722892761,29.981696128845215,9451.618166446686,8344.656265497208,7989.833288908005,9765.86187005043,7997.233527421951,7935.064137458801,1607.151683330536,500.18978238105774,145.60263681411743,1921.3953869342804,1078.4154765605927,92.94917869567871,1906.5551998615265,591.8421127796173,896.2723095417023,4954.019119262695,1750.045403957367,956.2124202251434,1588.4952042102814,432.73373222351074,309.2189621925354,2903.4717547893524,1993.8636889457703,165.21590065956116,0.0007386207580566406,1851.6698179244995,536.9567308425903,830.5339057445526,4899.133737325668,1643.5511288642883,912.4140419960022,1312.578029036522,1684.008992433548,465.573429107666,523.9467880725861,3846.75838303566,1238.4107122421265,417.8222568035126
4000,2040.816501379013,726.1034142971039,1539.0325615406036,5088.280420780182,1685.130807876587,1646.4571969509125,1817.770287513733,710.8083865642548,288.4184772968292,2132.0139911174774,1274.1710352897644,110.73231720924377,1730.4917631149292,623.529862165451,214.94639587402344,2044.7354667186737,49.88717722892761,32.65944719314575,9650.681471824646,8543.719570875168,8036.401226758957,9964.92517542839,7997.233527421951,7937.781368017197,1797.9770858287811,691.015184879303,207.0412082672119,2112.2207894325256,1078.4154765605927,95.83540391921997,2104.8815610408783,790.1684739589691,1648.6520683765411,5152.345480442047,1750.045403957367,1684.8086578845978,1800.012627363205,644.2511553764343,577.7956218719482,3114.989177942276,1993.8636889457703,290.5879406929016,0.0013661384582519531,2046.8553013801575,732.1422142982483,1548.7445540428162,5094.319220781326,1643.5511288642883,1642.8555483818054,1314.8632506132126,1882.2599682807922,663.8244049549103,994.2174258232117,4045.009358882904,1238.4107122421265,764.6910133361816
