sample_size,cvec_pca16_kld,cvec_nmf16_kld,cvec_umap16_kld,cvec_tsne16_kld,bert_kld,roberta_kld,distil_kld,glove6B_kld,universal_kld,cvec_pca16_ks,cvec_nmf16_ks,cvec_umap16_ks,cvec_tsne16_ks,bert_ks,roberta_ks,distil_ks,glove6B_ks,universal_ks,cvec_pca16_cos,cvec_nmf16_cos,cvec_umap16_cos,cvec_tsne16_cos,bert_cos,roberta_cos,distil_cos,glove6B_cos,universal_cos,cvec_pca16_recon,cvec_nmf16_recon,cvec_umap16_recon,cvec_tsne16_recon,bert_recon,roberta_recon,distil_recon,glove6B_recon,universal_recon,cvec_pca16_kmeans,cvec_nmf16_kmeans,cvec_umap16_kmeans,cvec_tsne16_kmeans,bert_kmeans,roberta_kmeans,distil_kmeans,glove6B_kmeans,universal_kmeans,cvec_pca16_taddy,cvec_nmf16_taddy,cvec_umap16_taddy,cvec_tsne16_taddy,bert_taddy,roberta_taddy,distil_taddy,glove6B_taddy,universal_taddy,topics_taddy,random_noembed
100,0.532881673326246,0.5898791194691888,0.5405485904908537,0.5227968400601195,0.4949266529809255,0.5709123012818164,0.5903656047997851,0.5730392426408593,0.485471883133546,0.4961539401493212,0.5250727054999573,0.6010125310067573,0.5100871244058311,0.5786044209831738,0.5224554602441439,0.5676061866881728,0.5454172623629898,0.530612681305522,0.5616308943387466,0.524561781345846,0.5976476104940308,0.5335147915979325,0.6177836736439507,0.5041836211004803,0.5125905763896526,0.5480436721776214,0.5295220988061635,0.5543015384239403,0.5336873907890074,0.5826253711646321,0.536618522184342,0.5834921856861811,0.5671555958796144,0.4867587399342596,0.5619188142282829,0.5709558329362026,0.5412372689003752,0.5638456627197967,0.5605206462235908,0.5304538289526742,0.5328264950450284,0.56768809493261,0.563957164852084,0.5739152217212263,0.5522248112100884,0.5826169703190488,0.5626206666911054,0.46804318340115114,0.5409474397277515,0.5518160337011375,0.5456293837139681,0.5331720752837957,0.5486366955044784,0.5681824083238634,0.5450174584845486,0.5381501490768235
200,0.5379290540953359,0.5571853195987146,0.5494886176179479,0.5681316213937461,0.5126509097352054,0.6145944071752386,0.5746659518310788,0.6265037513594095,0.5155812774173051,0.5399842064103033,0.595351888510087,0.616753424490145,0.5747247577501619,0.5802028727837042,0.5703654826056674,0.5603234172806921,0.6017907547930642,0.5413718733580165,0.5568248469518677,0.5016022703667046,0.5827804049513056,0.5741214242946344,0.6197036487163508,0.5441426249740338,0.5331825763407749,0.5815103498417586,0.5814920207241223,0.5742344538533914,0.5404722191673694,0.5792520498063224,0.5811514046213815,0.6244463079047374,0.608718397546342,0.5249474565294426,0.5712101494434059,0.5984502731038528,0.5920106431076408,0.5581863567212875,0.587135097816391,0.583194719381209,0.5790825054681867,0.5676781666605569,0.56195184482569,0.5898573536419957,0.5687884147757127,0.5778279155516453,0.5665348879479942,0.536205353324291,0.5921005703410438,0.5651516123513813,0.5710862369710522,0.5586115540647874,0.5503525682148661,0.5836691762283563,0.51902199646859,0.5808846777741119
300,0.6038016117404108,0.565636570255508,0.5726459303249142,0.5747125383384044,0.5878652076689028,0.6120649889414324,0.6010323875508633,0.6419277038503366,0.5566094798196415,0.6338926769065337,0.6047936752324743,0.6090949081711207,0.5950334200911568,0.5936113860478758,0.6049235064823979,0.5871335703899214,0.6039406075491526,0.5413894387624181,0.5830385400246832,0.5404073035424075,0.5785318682258636,0.6072780343854247,0.606493700893239,0.5434896501582414,0.5396955228075321,0.5478603810012586,0.588607536933172,0.6049364896073903,0.5965196060461649,0.6054871268497134,0.5675733470190745,0.6007055182863497,0.6229379742659189,0.5827406918630937,0.6042751139460146,0.6041552109681441,0.6042470474846342,0.5957610478756553,0.5846629580751982,0.6207115592580373,0.584627445409778,0.5643290931974535,0.5975332444371126,0.6007708157679288,0.5956273980595574,0.555497704278016,0.5751593105807887,0.5405566094798196,0.5825438447768124,0.5928054776568056,0.5734207174016643,0.5763797243300708,0.5754313834207022,0.5714898594156678,0.520711902928993,0.5915970923909722
400,0.5677184525336949,0.555169116658724,0.5768952307635911,0.5994484463017951,0.6030249153805736,0.6205612986790816,0.595618424429048,0.6159881838288305,0.5711826557669514,0.6352245927881032,0.619077403863778,0.6140789007417182,0.6226164509940492,0.5830652699879029,0.5980905641702408,0.6275141439691092,0.6231976367657661,0.5740618546623166,0.6085251780979264,0.5465551950829086,0.6205971932011194,0.6085778743111306,0.5734279726773953,0.5829423121570927,0.531877390422425,0.5579673619511957,0.5853212788836346,0.6111699170301941,0.6108384654862715,0.62320298275841,0.608566418612608,0.6054726162982513,0.6269276122047486,0.6251611434925524,0.6170016312914697,0.6100518408543812,0.6159066574410108,0.5990314588755696,0.5849489686816477,0.6007278568984689,0.6026348488458765,0.6109845256424355,0.5922636231166832,0.6114150689785793,0.6142026222857633,0.5715910514192847,0.5696672577807105,0.5556703034690911,0.6006896712367267,0.5971855639869497,0.5857615595635226,0.5886308301868348,0.5633024716815133,0.601482787431113,0.529871497611105,0.5934830822244217
700,0.607960794017376,0.6026476410425602,0.5772427202854455,0.6218977968400601,0.6224354509573908,0.629189730806359,0.6224194129794591,0.6329403265026822,0.6152015591969402,0.6126606852646114,0.6176492601146182,0.6050365360411549,0.6281526082334397,0.6195325769517456,0.6210798599655413,0.6140055842711731,0.6017090374769358,0.5956764666348962,0.6221414213619756,0.5562520620257341,0.6408210833730463,0.6200687036426066,0.6354430147732688,0.5856244730378679,0.584122249104928,0.6257522575363221,0.6030188056746948,0.6342057993328201,0.6182968889377665,0.6307431235260335,0.619963311216198,0.6112241406698681,0.5726291286337476,0.6417062270122317,0.6051182533572833,0.6299144946662268,0.61448901474883,0.6245473089800457,0.6113772651734546,0.6133841126263182,0.6213633885039774,0.6093971476838105,0.610986243997214,0.6234765830247933,0.6098704589611056,0.580503775798233,0.5535067038747754,0.5964056218458644,0.6021264067597786,0.6350460748194582,0.6248058259100407,0.6076297243300708,0.6072007084203965,0.6071564130527756,0.6065693085034887,0.6192568764739665
1000,0.631203642606645,0.6021054046458204,0.6072054816281145,0.6151427532778573,0.6257568398157313,0.6327028116866453,0.5964165047594607,0.6297411317619169,0.6298060473868787,0.6406225179319867,0.6301711023131347,0.632768491024842,0.6177714542321933,0.6278028275718807,0.6428846365335972,0.6257171267275193,0.6359699769053118,0.6076766926940137,0.6477548358322031,0.6078523467380279,0.5941543861578503,0.6217962229798257,0.640572112858487,0.6042705316666056,0.6525494275205592,0.6306194019819886,0.6155062807776434,0.6395930324914159,0.6214273494873956,0.6339911959138287,0.6337254237081027,0.5604188814350477,0.6157659432774907,0.6412311973801581,0.6237780588242481,0.6385261251023375,0.6367119243129635,0.6270765362855432,0.6237568657819812,0.6228623666556692,0.6274547652651001,0.6386055512787614,0.643969109327077,0.6289273953101898,0.6385410175104171,0.5819365018268021,0.5771640578222564,0.6172271176240576,0.6215657725112114,0.6463425391326661,0.6372257123917056,0.6285965165511932,0.6176542242506445,0.6075102032088175,0.6157800719723352,0.617829878294659
1400,0.6316221574593399,0.6160874665493603,0.6391424416828574,0.6438950291432971,0.632798275841001,0.6410845644390678,0.6071260554516905,0.6531023559025869,0.6399046274912326,0.6543693561591944,0.6379113359482874,0.6338170692962841,0.6374637999926683,0.6396747498075442,0.644761843664846,0.631567170106431,0.6351092720896416,0.5902021701675281,0.6402307330425114,0.630381123452717,0.6198021677236458,0.6157155382039908,0.6484360680376847,0.6072612326942581,0.6238261727580434,0.6462976709801189,0.6258408482715643,0.633797976465413,0.6244768564341312,0.6336078118699366,0.6398901169397705,0.5971947285457678,0.6381190659481653,0.6566856984004791,0.6355140401041094,0.6427441132983858,0.6439708276818554,0.6425623495484928,0.6409814631523638,0.6382393507826534,0.6297102013759058,0.6465997195645001,0.6379451302589293,0.6387781504698363,0.6334951641677969,0.6125980607793541,0.6005523937827633,0.6136640135268888,0.64100723847404,0.6529996364725003,0.6461388186272712,0.6042220358761929,0.6271202588682381,0.616373859012427,0.6214157028605642,0.63043401059423
1800,0.634462406979728,0.615512390483522,0.6407897711304178,0.6465848271564207,0.6330289172379241,0.6541173307916958,0.6331663856201963,0.6451704302454879,0.6373018927868812,0.6507905959407114,0.6362724073463104,0.6474172745824016,0.6454636961276684,0.656941542334152,0.6490096166770531,0.6365717829343696,0.6321407187457996,0.6123063223236433,0.6494311863826875,0.6339041326050564,0.6391531336681451,0.6458699915686059,0.6355865928614196,0.6248304556618645,0.6343447951415618,0.6435322653567457,0.6330777948849543,0.6398824798074221,0.6318550899959676,0.6392844923445384,0.6485048022288207,0.6234374427215074,0.6450306707235114,0.6578236311203979,0.6379457030438556,0.6417306658357467,0.6345443152241651,0.6433778043549985,0.6466995750699561,0.6444899617532411,0.6527959159671053,0.6431206239231643,0.6445884807605362,0.6467959938658553,0.6423082239695981,0.6320242524774857,0.6299074303188045,0.6239999175189705,0.6364371784767281,0.6466201488935324,0.6490033160428658,0.6085337698718184,0.6339436547649596,0.6113079581973924,0.6381969646981194,0.6372020372814253
2400,0.6501605325219644,0.6163257450786319,0.6477937852071801,0.6479824223761869,0.6418169654312841,0.6608502266700881,0.63890798171976,0.6584170363038724,0.6392539438151448,0.6565383017461539,0.6317298410254529,0.646578717450542,0.6488767305741902,0.6652125566675221,0.6470132702811687,0.6410815095861285,0.6448313415692168,0.6253375612498013,0.658172648068722,0.6489385913462126,0.6636721470728398,0.6623188472206949,0.6257675318010191,0.6269237936385742,0.6289789459535418,0.6491684690299009,0.6507844862348326,0.6440118772682282,0.6332740691863092,0.6446098647311119,0.6515428534770336,0.6374523442941457,0.6526059422999377,0.6626273873675721,0.6430625817173161,0.6469636289209038,0.6434432927648863,0.6457766276256461,0.6530149107371971,0.6473468220364872,0.6505309334408642,0.6548632876938304,0.6445609870840818,0.6408543048987622,0.6527569665921282,0.6300174050246221,0.6388978625193983,0.6305905718073732,0.6504471159133399,0.6480416101518872,0.6523065667118784,0.6422679380964601,0.6419191120764446,0.6173208634236347,0.6432905501179172,0.6409585517553185
3000,0.6594808888400112,0.6307652712098439,0.6603194459718709,0.6572516099074991,0.6465412955020345,0.6601437919278565,0.6530924276305339,0.6549879638794187,0.6451009323411172,0.6522821278883635,0.6341408837078584,0.6438049109815853,0.6537476935860307,0.6578305045395114,0.6472454391045614,0.6511900179625353,0.6424004423427057,0.6374928210955925,0.6616872563754781,0.6566246013416914,0.6596809817075406,0.6707784987230715,0.6550162212691082,0.643988202157948,0.6494533340664981,0.6617262057504552,0.6514198956462236,0.650320148588047,0.6419452692547379,0.6419758177841318,0.653057296821731,0.653613280056698,0.6579863020394199,0.6624868641323607,0.6483337304642154,0.6471660129281377,0.648802841318719,0.652749902244706,0.6460708481493701,0.6502779534318217,0.6569373419113604,0.648507284296834,0.6577505055781614,0.645080503012085,0.651153168798954,0.6528845067023473,0.655372684421472,0.630868372496548,0.643282149272334,0.6459971498222075,0.6556598405977736,0.6478310162273788,0.6389419669587106,0.6266545847232914,0.6511890633209917,0.6417678968559453
